Author,Rating,Title,Content,Version,Date
gioanta,1,Ngga ada akses kamera,"Harus verifikasi wajah buat perubahan data faskes 1, tapi akses ke kamera nya ngga ada buat IOS kah?",4.13.1,2025-08-08T22:53:07-07:00
Pengguna62,1,Gagal verif,"Udh dicoba 3 hari pagi siang malam sllu ngestuck di verif wajah, ttp merah dan diem aja gitu gk ada pemberitahuan apa2, bikin kesel ini apk",4.13.1,2025-08-20T22:40:21-07:00
dendiaditiar,1,Aplikasi gak guna,"Nyusahin rakyat mau update faskes aja ada kendalanya, kamera segala di mirror. IT nya gak guna",4.13.1,2025-08-09T05:09:51-07:00
tio---,2,pendaftaran,sistem kamera tidak bisa,4.13.1,2025-08-13T22:11:20-07:00
Haikall1114,1,Aplikasi sampah,"Aplikasi sampah mempersulit , verifikasi wajah aja gabisa gini amat tinggal di Indo",4.13.1,2025-08-15T22:25:30-07:00
yulianasartika,3,Rehab,"Saya mau mengajukan program rehap ko g bisa ya, disuru aplikasi rehap keversi terbaru, itu mksd nya gimna ya???",4.11.2,2025-07-21T21:36:40-07:00
jin cheongwoo,1,tidak bisa log in,"ini aplikasi kenapa sih? saya sudah dua hari tidak bisa log in. disuruh update, tapi pas log in tidak bisa terus. jangan salahin sinyal, sinyal saya bagus. ngeselin banget deh. perbaiki dong aplikasi kalian.",4.13.2,2025-09-06T00:16:14-07:00
jskaksnow,1,Jelek,"Dikirain ada app kayak gini mempermudah ternyata makin susah, mau berobat aja susah banget daftar layanan gak bisa terus",4.11.2,2025-07-27T16:33:47-07:00
gjocelinee,1,Verifikasi wajah,gimana ya di ulang berkali2 tp verifikasi wajahnya gabisa dan lama. saya bingung hrs gmn,4.13.1,2025-08-09T23:54:02-07:00
Bhietil,1,BPJS buruk,"Sangat buruk sekali, banyak kali peraturan nya",4.13.2,2025-09-08T02:04:37-07:00
Astryviola,1,Biometrik gagal terus,Tidak bisa mendaftar dengan biometrik dan selalu gagal.,4.13.1,2025-08-08T20:40:32-07:00
bg pal,1,Sistem,"Disuruh verifikasi wajah tapi nga terverif2, padahal udah mgikutin petunjuk segala macam.",4.13.1,2025-08-05T05:06:12-07:00
Nzzz...,1,bad jkn,kerjaan nya pegawai bpjs apa sih?! dari pegawai sampai aplikasi kok pelayanan nya buruk semua..bubar saja kalo ga becus,4.13.2,2025-09-07T16:25:22-07:00
geleuh,1,Verifikasi wajah eror,"""Barang siapa yang mempersulit orang lain, maka Allah akan mempersulitnya di hari kiamat.""",4.13.1,2025-08-21T05:09:55-07:00
skuymabar,1,permasalahan verifikasi wajah,mau verifikasi wajah gabisa mulu! padahal lagi urgent,4.13.1,2025-08-10T22:04:20-07:00
Dkplt,2,Jelek,"Plis bangett Mob JKN upgrade aplikasinya, Jelek banget!! Verifikasi wajah setengah mampus ga bisa",4.13.1,2025-08-06T05:41:39-07:00
rahayudwia,1,JELEK,"ANEH gabisa daftar akun, katanya rekam wajah sesuai kotak, udh di tunggu 5 menit masih juga ga ada perubahan!!!!",4.11.2,2025-07-16T10:51:39-07:00
gjocelinee,1,Verifikasi wajah,gimana ya di ulang berkali2 tp verifikasi wajahnya gabisa dan lama. saya bingung hrs gmn,4.13.1,2025-08-09T23:54:02-07:00
Iwada W,1,Frista tidak respons,"Ubah dara peserta wajib frista, tapi sudah scan wajah tidak ada keterangan apapun. Pastikan terus padahal muka sudah masuk kotak",4.13.2,2025-08-25T01:16:12-07:00
Iwodhhd,1,Not work,"Buat pendataran nya aja gk jelas saat verifikasi wajah. Petunjuk cuma wajah harus di dalam kotak saja, petunjuk harus sesuai dengan kriteria yg di inginkan. Intinya mempersulit untuk mengakses banyaj hal.",4.13.1,2025-08-18T21:15:04-07:00
Karin SB,1,Alamat,"Alamat di kartu BPJS terlalu lama untuk update ke alamat terbaru, peserta hanya bisa mengupdate manual untuk alamat surata saja",4.11.2,2025-07-30T00:42:59-07:00
Xaqat,5,Just info,Bagus perlu di ketahui saya mengajukan pindah krn pelayanan buruk dari faskes sblum ny,4.11.2,2025-07-30T00:50:27-07:00
Masiki Kaneshiro,1,Aplikasi cacat,"Aplikasi ga guna, mau login saja susah, gimana gue mau cek kesehatan gue",4.13.2,2025-09-09T08:42:18-07:00
SangGigas,1,Aplikasi tolol,Login ke pemindai muka ga bisa”,4.13.1,2025-08-05T00:58:10-07:00
bpjs aplikasi bapuk,1,BOBROK,GAJELAS ANJIR APLIKASINYA SUMPAH MAU BIKIN AKUN PAS VERIF WAJAH GABISA2. APLIKASI BOBROK KLO BLM SIAP MASUK ERA DIGITAL GAUSA SOK BIKIN ATURAN HARUS DAFTAR LEWAT APP BJIRRRRR,4.13.1,2025-08-12T00:53:24-07:00
shafahaq,5,Pelayanan,Klinik mediska pekalongan pelayananya is the best,4.11.2,2025-07-25T23:13:27-07:00
!/!!!!!!!!,5,GOBLOK,"biometric"" peler gabisa login",4.13.1,2025-08-08T20:49:17-07:00
yg bikin apk jelek,1,apk tolol,daftar verivikasi wajah ga bisa bisaa udah di tempat terang udah depan lampu tetep bingkai nya merah tolol,4.13.1,2025-08-18T23:18:35-07:00
kaisar200,1,apk aneh,"aplikasi goblok verif muka aja gabisa bisa najis, bukan mempermudah malah mempersulit",4.13.1,2025-08-07T21:43:32-07:00
Ddokm,1,Susah,Aplikasi ribet gak bisa daftar,4.13.1,2025-08-08T00:19:44-07:00
AjengDRAD,1,Mau pindah faskes minta diaktifkan kamera tetapi tidak ada pilihan kamera 🙂🫵🏻,Akses ke kamera gak ada pilihannya 🙂 minimal kalo buat app tu dicoba sndiri dulu masuk akal apa gak perintahnya aneh banget,4.13.1,2025-08-14T04:46:49-07:00
misterEga,1,Suraat rujukan,Tidak bisa melihat surat rujukan,4.11.2,2025-07-23T03:49:36-07:00
Zln17,2,App yg tidak memudahkan,"Mau dftr aja susah ny mintaammpuunn yatuhan. Udh ku ssuaikan tata letak wajah di dlm frame, TAPI GA MULAI2 di SCAN. Gda tmbol, gada tanda ap2 . Buriiiqq

App indo smua gada yg beres mmg",4.13.1,2025-08-16T20:43:55-07:00
Astryviola,1,Biometrik gagal terus,Tidak bisa mendaftar dengan biometrik dan selalu gagal.,4.13.1,2025-08-08T20:40:32-07:00
intan rosdiawati,1,Aplikasi jelek bgt. Masa ga bisa masuk kalo ga bayar,Sumpah aplikasinya busuk bgt. Pemaksaan harus bayar. Padahal udah dibatalin gabisa,4.11.2,2025-07-19T06:22:52-07:00
rkzey,1,saran,TOLONG YA DIPERBAIKI ! jangan menyusahkan bisa ga sih? mau verifikasi wajah aja gabisa! udah berkali-kali dicoba! aplikasi itu jangan dibuat menyulitkan. tolong diperbaiki bagian verifikasi wajah,4.13.1,2025-08-05T19:04:58-07:00
jin cheongwoo,1,tidak bisa log in,"ini aplikasi kenapa sih? saya sudah dua hari tidak bisa log in. disuruh update, tapi pas log in tidak bisa terus. jangan salahin sinyal, sinyal saya bagus. ngeselin banget deh. perbaiki dong aplikasi kalian.",4.13.2,2025-09-06T00:16:14-07:00
callyyyy1,2,.,"CARA GANTI NOMOR HPNYA RIBET KALI COK
btw, yg tidak dapat sms OTP itu harus ada pulsa minimal 2000 yagesya",4.11.2,2025-07-15T04:50:37-07:00
subur.rakhmanto,5,perubahan kelas,"cukup mudah, tp pin lama saya tdk berlaku, jd harus reset pin, tp cepat selesai, terima kasih",4.13.1,2025-08-03T18:34:42-07:00
Semangka45,1,APK SAMPAH,Jelek gak bisa login apk sekelas government begini🤌🏻,4.11.2,2025-07-13T18:48:15-07:00
Shounen 356A,1,Aplikasi k*nt0l,Sering banget log out sendiri anj*ng! Dengan alasan log in di device yang berbeda! T4i!,4.13.1,2025-08-03T06:18:45-07:00
jin cheongwoo,1,tidak bisa log in,"ini aplikasi kenapa sih? saya sudah dua hari tidak bisa log in. disuruh update, tapi pas log in tidak bisa terus. jangan salahin sinyal, sinyal saya bagus. ngeselin banget deh. perbaiki dong aplikasi kalian.",4.13.2,2025-09-06T00:16:14-07:00
Dhevshe,1,Otp tidak terkirim,Ini udh nyoba brp puluh kali pun gada otp masuk bikin emosi pliss terus harus gmn pake email pun ga bisa,4.13.2,2025-09-03T02:03:46-07:00
!/!!!!!!!!,5,GOBLOK,"biometric"" peler gabisa login",4.13.1,2025-08-08T20:49:17-07:00
tigaputra,1,Verif Muka error!,Update dong gimana ini ga bisa ganti faskes,4.13.1,2025-08-19T07:53:48-07:00
hxhxvxjkwkakamzbshqiau,1,Apk blahbloh,Apk tolollll ngabisin angaran aja,4.13.1,2025-08-06T06:51:03-07:00
Ahmad adul,1,Seken muka gak bisa,Buat apa ada seken muka kalo gak bisa berapa kali ulang ulang,4.13.1,2025-08-15T04:44:04-07:00
MOONCOK,1,KECEWA,"verifikasi wajah tidak bisa, sms juga tidak ada padahal pulsa ada. SEMUA RS HARUS DAFTAR DI JKN, SEDANGKAN APLIKASI JKN SEPERTI INI, PRODUK GAGAL",4.13.1,2025-08-02T16:24:59-07:00
fhrl666,3,Verifikasi wajah sensor deteksinya buruk,Kurang fast respon,4.13.1,2025-08-10T05:43:07-07:00
Rempoaaaa,1,.,"Tidak bisa update faskes, sekali di alihkan ke pengaturan . Padahal pengaturannya sudah sesuai",4.13.2,2025-08-30T16:59:10-07:00
Indre@78,1,Anggaran di korupsi,"Klo belum mampu bikin aplikasi buat monitoring dll khususnya untuk pelanggan jangan sok sok an, klo pun ada niatain bikin aplikasi kek gini anggaran jangan di korupsi biar aplikasi optimal dan berfungsi dengan baik 
Kok bisa aplikasi se bobrok ini rating 4,8 emng klo ada uang bisa membeli semuanya dan klo ada anggaran bisa di korupsi seenaknya",4.11.2,2025-07-16T19:28:41-07:00
orang lagi nanya,4,butuh jawaban,kenapa setiap mau daftar pas udh bagian muka selalu gabisa???,4.13.1,2025-08-17T03:12:24-07:00
hshsygegeyy2625,1,Tolong diperbaiki,"untuk verif wajahnya susah dan gabisa-bisa, padahal sudah banyak keluhan tapi ga ada perbaikan 🙏🏻 mohon diperhatikan",4.13.1,2025-08-20T05:48:29-07:00
Pemerintah aneh,1,Aplikasi gak jelas,"Setiap pemerintah buat aplikasi pasti gak pernah beres😀orang mau berobat pun di persulitttt, rakyat indo bakal masuk surga lewat jalur pemerintah zolim",4.13.1,2025-08-19T05:10:39-07:00
Iwada W,1,Frista tidak respons,"Ubah dara peserta wajib frista, tapi sudah scan wajah tidak ada keterangan apapun. Pastikan terus padahal muka sudah masuk kotak",4.13.2,2025-08-25T01:16:12-07:00
SAYA RAMA,1,APK GAJELAS,"KAMERA UDH SESUAIKAN DI WAJAH, GW TUNGGU 2-3MENIT MASIH GA DAPET SENSOR NYA, GAJELAS APK",4.13.1,2025-08-10T02:20:31-07:00
Umi selly,5,Mobile JKN,Mantappp,4.11.2,2025-07-29T00:32:59-07:00
Rindot11,1,Bodoh,Aplikasi bodoh mau daftar varifikasi muka malah ga berfungsi,4.13.1,2025-08-03T15:43:54-07:00
syaa222,1,smpe skrng g bs,knp si gabisa verifikasi wajah,4.13.1,2025-08-03T02:44:18-07:00
khumala asvia,1,"Sebenarnya ini aplikasi bagus, semua detail.","Tapi sering log out sendiri. Dan kalau mau log in susah. NIK belum terdaftar lah, atau ga sesuai. Padahal udah di cek betul betul dan ga ada yang salah. Ribet tau. Coba di perbaiki, kenapa bisa log out sendiri tiap bulan harus log in, yang terlalu ribet prosesnya",4.11.2,2025-07-27T23:14:13-07:00
lauraolla,5,Percayakan BPJS demi kesehatan kita smua,Semoga kebaikan Pemerintah bisa memberi kebermanfaatan buat penerima BPJS berbayar atau yg tidak sekalipun,4.13.2,2025-08-28T18:10:01-07:00
Hooohohopps,2,Poor,Lupa password mau reset pw kode otp ga ke kirim2 dah 2 hari,4.13.2,2025-09-01T17:03:48-07:00
This Guy is already taken,1,Verifikasi wajah tidak bisa,Mencoba mendaftar selalu tidak bisa vetifikasi wajah,4.13.2,2025-08-23T22:41:52-07:00
Robbbbzzzz,2,Eror,"Buka aplikasi terus mau check kartu bpjs tidak bisa muncul, susaahhh",4.13.2,2025-08-21T19:14:22-07:00
migellk,1,.,apk gajelas buat susah orang,4.13.1,2025-08-06T20:26:50-07:00
Kodeoptsangatburuk,1,Bagian otp,Minta otp ga masuk masuk sangat buruk,4.11.2,2025-07-29T19:48:46-07:00
Presiden Konoha,1,Aplikasi Burik,"Loading ga kelar2, UI/UX jadul. Aplikasi sampah",4.13.2,2025-08-31T16:10:41-07:00
@grt.80,5,Makasih,"Pelayanan untuk perubahan faskes cepat dan sangat membantu Terimakasih , dan tidak lama dan sangat cepat",4.11.2,2025-07-14T23:58:44-07:00
carlos meguer,1,APLIKASII BURIKKK!APLIKASII GA JELAS,"bisa ga si klo bikin aplikasi yang bener, masa face app aja ga bisa, mau daftar gini aja suusahhh",4.13.1,2025-08-14T06:47:30-07:00
Herwanto15,1,Sulit login,"Mau login aja langsung diminta untuk daftar auto debit, kalo g daftar auto debit tidak bisa login",4.11.2,2025-07-20T00:30:20-07:00
Semangka45,1,APK SAMPAH,Jelek gak bisa login apk sekelas government begini🤌🏻,4.11.2,2025-07-13T18:48:15-07:00
Rdea,3,Lama,"Perubahan faskes harus nunggu, dan lama.",4.13.2,2025-08-25T02:16:39-07:00
Deaameliaa96,1,Suck apps,As usual aplikasi gov yg sangat jelek bikin validasi gk jelas bgt tiba2 keblokir gk bisa login karna dipakai login lebih dri 3 akun. Padahal mereka sendiri bikin loginan harus 1 nik 1 walaupun bisa login pake kepala keluarga tp beberapa fitur hanya bisa diakses kalau log in pakai nik langsung. Bukannya dikasih validasi pas log in ke 4 gak bisa malah login ke 4 dilolosin pas mau log in lagi device malah langsung diblokir berasa dijebak instan namanya sih ini biar gk bisa pake layanan mereka walaupun udh bayar susah sih instansi yg korupsinya dimana2,4.13.2,2025-09-08T16:37:31-07:00
JS Raksanata,1,Verifikasi Wajah,"Saat ada perubahan data, sangat sulit melakukan verifikasi wajah, sudah dicoba beberapa jam dalam beberapa hari, aplikasinya sama sekali tidak merespon, hanya kotak merah yang sama sekali tidak bergerak, tolong diperbaiki min, ini kan project mahal ya",4.13.1,2025-08-03T00:58:34-07:00
Sgdewa97,1,Busuk,Busuk .sering gangguan,4.11.2,2025-07-11T18:02:36-07:00
Byan921,1,Gak bisa daftar,"Tidak bisa dapat no OTP, scan wajah tapi tidak merespon, aneh !!!",4.13.1,2025-08-04T21:10:04-07:00
AjengDRAD,1,Mau pindah faskes minta diaktifkan kamera tetapi tidak ada pilihan kamera 🙂🫵🏻,Akses ke kamera gak ada pilihannya 🙂 minimal kalo buat app tu dicoba sndiri dulu masuk akal apa gak perintahnya aneh banget,4.13.1,2025-08-14T04:46:49-07:00
Tyyysonn,1,Aplikasi kont,"Aplikasi taikkk !!! Katanya memudahkan masyarakat tapi verifikasi nya susah kayak daftar polisi,, eh iya sama sama dari pemerintah ya ,, kecewa hidup sekali menjadi WNI",4.13.1,2025-08-19T06:44:52-07:00
Andian ADP,1,Aplikasi gagal,"Tidak bisa registrasi, saat permintaan menempatkan wajah di dalam kotak setelah itu tidak ada respon apapun dari aplikasi.",4.13.1,2025-08-21T01:00:40-07:00
roiyan aden,1,face recognition nya dibenerin napa gajelas banget,gak bisa ke deteksi wajah aing aplikasi sampah,4.13.1,2025-08-06T08:06:16-07:00
Astryviola,1,Biometrik gagal terus,Tidak bisa mendaftar dengan biometrik dan selalu gagal.,4.13.1,2025-08-08T20:40:32-07:00
Herwanto15,1,Sulit login,"Mau login aja langsung diminta untuk daftar auto debit, kalo g daftar auto debit tidak bisa login",4.11.2,2025-07-20T00:30:20-07:00
Yo*************,1,Biometrik ga berfungsi bikin gabisa registrasi !,"Aplikasi gabisa di pake, jangankan login, registrasi aja ga selesai, tahap verifikasi wajah/biometrik ga berfungsi, sidah banyak yang kasi review masi ga di perbaiki, di bawah naungan bumn tapi tetep gabisa proses online, ciri2 neg*ra gag*l",4.13.1,2025-08-07T02:33:44-07:00
Coobyt,2,Daftar apk,Buat daftar apkikasinya susah banget  pas ambil foto wajah,4.13.1,2025-08-12T23:19:29-07:00
lakleyXR,1,OTP,Nomor OTP ga masuk masuk ke sms nunggu lama bgt taek,4.11.2,2025-07-13T22:43:06-07:00
hai warga,3,keluhan,"rewel bangett tiba tiba log out sendiri,mau log in malah katanya salah sandi padahal uda bener sesuai sama catatan,sedih bangettt lagi sakit di buat pusing gini 😥😥",4.11.2,2025-07-26T08:14:37-07:00
meiiiiiiiiihdgurx,1,verifikasi,verifikasi wajahnya udh di coba beberapa kali ga bisa trs,4.13.1,2025-08-17T05:36:32-07:00
reno agus saputra,5,Sangat terbantu adanya BPJS,"Kemarin minggu anak saya masuk IGD,blm punya BPJS dari pihak RS dibantu untuk di bikinkan melalu online alhamdullilah belom ada sehari sudah jadi,sangat terbantuk adanya BPJS untuk pelayanan kesehatan tidak di pungut biyaya sepesarpun untuk biyaya RS nya🙏🥰",4.11.2,2025-07-24T03:29:56-07:00
Corx241,2,Frista kurang membantu,"Aplikasi nya masih perlu perbaikan, setelah coba ganti faskes 1, disuruh validasi lewat frista (face recognition) malah ga bisa-bisa. IT nya kerjanya ga bener, developer aplikasi kurang serius kerjanya",4.13.1,2025-08-03T21:57:08-07:00
capsswe,1,Aplikasi Lengeh,"E naskleng ci ne ngae aplikasi, aplikasi tain cicing naskleng nasplet sing dadi anggo",4.13.1,2025-08-02T01:05:25-07:00
Deyidi M,1,Sulit mengakses kontak cs,"Saya ingin berbicara dengan cs, tapi tidak ada Kontak Cs di aplikasi Mobile JKN, di WA Pandawa juga tidak ada pilihan berbicara dengan costumer service BPJS Kesehatan.",4.13.1,2025-08-05T01:06:55-07:00
tsinjal,1,Bug,Face recognition didn’t work when you’re going to register,4.13.1,2025-08-18T19:02:08-07:00
fluoxetrine,3,fix bugs di menu info riwayat pelayanan,fix bugs surat rujukan di info riwayat pelayanan di mobile JKN V.4.11.2 iOS tidak bisa dibuka selalu force close.,4.11.2,2025-07-17T22:06:51-07:00
Yo*************,1,Biometrik ga berfungsi bikin gabisa registrasi !,"Aplikasi gabisa di pake, jangankan login, registrasi aja ga selesai, tahap verifikasi wajah/biometrik ga berfungsi, sidah banyak yang kasi review masi ga di perbaiki, di bawah naungan bumn tapi tetep gabisa proses online, ciri2 neg*ra gag*l",4.13.1,2025-08-07T02:33:44-07:00
misterEga,1,Suraat rujukan,Tidak bisa melihat surat rujukan,4.11.2,2025-07-23T03:49:36-07:00
bagas87637,1,KORUP!!!,aplikasi bobrok daftar face nya gabisa BNGST,4.13.1,2025-08-08T18:00:58-07:00
User Kuliahan,1,Tidak bisa verifikasi wajah,"Diawal udah dibuat kesel sama nih aplikasi, udah mau daftar trus pas sesi verifikasi wajah malah gaada respon, udah cocokin wajah di kotaknya masih ga keproses, sampe geleng"" sampe melet"" pun masih tetep gabisa, trus maunya apa???",4.13.1,2025-08-18T20:09:10-07:00
TOWNYSTARK,3,gabisa ganti faskes,"tolong dong benerin app nya, aku gabisa ganti faskes, nyantol waktu verifikasi muka",4.13.1,2025-08-13T04:09:44-07:00
nnahraf,2,Perbaikan,"Mau daftar tapi pengenalan wajah sama sekali tidak bisa ke baca, padahal sudah di tempat terang",4.13.1,2025-08-09T04:22:12-07:00
Ul.12,1,Layanan kurang berguna,"Saya buat pengaduan dan pertanyaan via mobile jkn, tapi aplikasi gak support untuk ketikan kronologis panjang dan selalu bertanya yg sama padahal saya sudah ketikan  nomor tiket pengaduan yg awal supaya bisa lengkap membaca kronologis nya.

Saya telpon ke 165, alasan CS gk bisa eskalasi permasalahan saya karena tidak terintegrasi dengan mobile jkn. Dan suruh saya lgsung ke kantor pusat untuk pengaduannya.

Padahal kan maksud saya telpon 165 karena via mobile jkn ga support jadi saya ingin menyampaikan kronologis via 165 saja, baru akhirnya petugas CS nya mau mencatat (itupun akhirnya telpon saya dimatikan dengan alasan suara tidak terdengar padahal belum ada jeda lama dari trakhir petugas mendengar suara saya), intinya pertanyaan dan pengaduan saya sama2 tidak mendapat jawaban baik via mobile jkn maupun 165.

Kalau saya disuruh ke kantor pusat yaa percuma sekali ya, pdhal info nya bpjs kasih akses mobile jkn dan 165 untuk mempermudah bukan mempersulit dan oper2an",4.13.1,2025-08-03T15:21:58-07:00
Aris setiawan,5,Login susah,Susah login padahal kemarin mudah,4.13.1,2025-07-31T20:20:22-07:00
Tyyysonn,1,Aplikasi kont,"Aplikasi taikkk !!! Katanya memudahkan masyarakat tapi verifikasi nya susah kayak daftar polisi,, eh iya sama sama dari pemerintah ya ,, kecewa hidup sekali menjadi WNI",4.13.1,2025-08-19T06:44:52-07:00
valentine vyna,1,Tidak ada opsi mengizinkan kamera,"Aneh sekali saya gak bisa masuk dengan akun karena ada sistem biometrik verifikasi wajah menggunakan kamera, aplikasi mengharuskan user untuk mengizinkan akses kamera tetapi tidak ada opsi untuk mengizinkannya. Tolong diperbaiki",4.13.1,2025-08-03T20:50:57-07:00
syaa222,1,smpe skrng g bs,knp si gabisa verifikasi wajah,4.13.1,2025-08-03T02:44:18-07:00
Alyaaaulia,1,"Kenapa waktu verivikasi itu lama bgt anj, muakkk sm aplikasiii","Kenapa waktu verivikasi wajah lama bgtt, muakkkk",4.13.2,2025-08-22T01:28:55-07:00
onalohy,5,Puskesmas waai,"Pelayanannya sangat baik, petugas ramah",4.11.2,2025-07-23T19:56:28-07:00
Siapa tah siapa,2,verifikasi wajah bermasalah,perbaiki verifikasi wajah,4.13.1,2025-08-02T01:16:25-07:00
Randarini,1,Apps TOLOL,"Lgsg unistall aja. Apps ga guna, minta verifikasi wajah tp fitur verifikasi wajah ga fungsi. 
Ga bs bikin apps tp sok iye 🤣",4.13.1,2025-08-11T21:54:06-07:00
Sonia hutasoit,1,Biometrik gagal,"Saya mau ganti faskes, saat verifikasi wajah tidak bisa. Untuk apa verifikasi wajah kalau tidak bisa digunakan, kembalikan saja seperti dulu pakai pin",4.13.1,2025-08-14T04:58:25-07:00
roiyan aden,1,face recognition nya dibenerin napa gajelas banget,gak bisa ke deteksi wajah aing aplikasi sampah,4.13.1,2025-08-06T08:06:16-07:00
justopinionn,1,verifikasi wajah buruk,"katanya mempermudah, ini mempersulit aja. mau daftar online langkah pertamanya aja pas verifikasi muka super susah. buruk bgt pindaian nya , gada arahan lagi. apk payah",4.13.1,2025-08-05T07:45:56-07:00
dsyml,1,tidak bisa verifikasi,"gagal mulu verifikasi udah coba di hp yang berbeda tetep aja sama gabisa, offline tulisannya padahal kuota saya masi ada dan sinyal bagus.",4.11.2,2025-07-10T20:56:11-07:00
Ohgggfrtvxdd,1,Aplikasi bobrok tolong diperbaiki,"Saya mau login tidak bisa terus, bacaannya terus coba beberapa saat lagi, gimana ini aplikasinya disini saya bayar gak gratis jadi tolong pelayanannya juga di bagusin!!!!!!!",4.11.2,2025-07-31T04:48:01-07:00
Aris setiawan,5,Login susah,Susah login padahal kemarin mudah,4.13.1,2025-07-31T20:20:22-07:00
Riska aja,5,Pindah askes,Sangat baik,4.11.2,2025-07-16T19:32:35-07:00
Haji Bongkeng,1,Aplikasi dibuat dengan tidak proper,Saya mau daftar tapi tidak bisa verifikasi wajah. Tolong diperbaiki aplikasinya,4.13.1,2025-08-20T16:12:27-07:00
Sands me,1,Diam,Disitu-situ aja,4.13.2,2025-09-09T22:22:24-07:00
MagicCat1303,1,Hufttt,Disuruh verifikasi muka tapi ga bisa access kamera gmn tau ini aplikasi. Sumpah ga ngerti sama pengembangnya,4.11.2,2025-07-20T08:29:26-07:00
Rindot11,1,Bodoh,Aplikasi bodoh mau daftar varifikasi muka malah ga berfungsi,4.13.1,2025-08-03T15:43:54-07:00
andru the god of aim,1,GAK JELAS,GAK JELAS GAK BISA DAFTAR,4.13.1,2025-08-10T04:33:23-07:00
gustoet,5,Hidup Sehat,Sangat bermanfaat keluarga,4.13.2,2025-09-07T10:24:28-07:00
tsinjal,1,Bug,Face recognition didn’t work when you’re going to register,4.13.1,2025-08-18T19:02:08-07:00
praditaaaaaaa,1,tolong dong,"ga ngerti kenapa nomor antrian gapernah sesuai, yang tadinya tinggal 1 antrian malah nambah lagi (??????) gapernah sesuai sama sekali tiap datang ke rumah sakit",4.13.1,2025-08-19T21:01:07-07:00
Ricky ter,2,Ga bisa verifikasi wajah,Tolong di perbaiki,4.13.1,2025-08-20T03:29:58-07:00
Spicyxxxxxx7,1,Dengarin kritik semua org min,Min gimana sih ini aplikasi nya org lagi sakit mau rujuk daftar nya gak bisa di bagian cocokan muka gimana sih???,4.13.1,2025-08-19T00:19:15-07:00
kingtomay,1,Fitur pengaduan,"Error spesial character bikin frustasi, kadang karena ngetik kepanjangan aja keluar error ini, tolong perhatiin ux nya kenapa gak di handle langsung dan remove di backend aja yg kayak gini",4.13.1,2025-08-07T22:07:26-07:00
rkzey,1,saran,TOLONG YA DIPERBAIKI ! jangan menyusahkan bisa ga sih? mau verifikasi wajah aja gabisa! udah berkali-kali dicoba! aplikasi itu jangan dibuat menyulitkan. tolong diperbaiki bagian verifikasi wajah,4.13.1,2025-08-05T19:04:58-07:00
Gregorius bila,1,TIDAK BISA DAFTAR AKUN,"Saya sudah coba beberapa kali untuk daftar akun, tapi selalu keterangannya nomor telfon sudah pernah di pakai peserta lain. sedangkan ini baru mau daftar udaa nggak bisa, mohon infonya terkait kendalanya. terima kasih🙏🏻🙏🏻🙏🏻",4.11.2,2025-07-30T06:42:47-07:00
tsinjal,1,Bug,Face recognition didn’t work when you’re going to register,4.13.1,2025-08-18T19:02:08-07:00
JS Raksanata,1,Verifikasi Wajah,"Saat ada perubahan data, sangat sulit melakukan verifikasi wajah, sudah dicoba beberapa jam dalam beberapa hari, aplikasinya sama sekali tidak merespon, hanya kotak merah yang sama sekali tidak bergerak, tolong diperbaiki min, ini kan project mahal ya",4.13.1,2025-08-03T00:58:34-07:00
verchuve,1,error,gabisa verifikasi wajah,4.13.1,2025-08-20T22:51:45-07:00
callyyyy1,2,.,"CARA GANTI NOMOR HPNYA RIBET KALI COK
btw, yg tidak dapat sms OTP itu harus ada pulsa minimal 2000 yagesya",4.11.2,2025-07-15T04:50:37-07:00
👶🏻🤍🙂🤎🤦🏻‍♀️,2,Gak ada fitur kamera di ipone 11,"Di ipone 11 gak ada fitur kamera pas izin akses, jadi gak bisa verifikasi muka, gak bisa ganti faskes",4.11.2,2025-07-14T06:25:27-07:00
dhtmlnd,1,APLIKASI CACAT,"ribet, ujung”nya ttp disuruh dtg ke kantor",4.13.1,2025-08-20T19:59:51-07:00
alfis0804,1,aplikasi jelek,aplikasi jelek mau daftar online ke poli gigi dan mulut ga bisa,4.13.1,2025-08-14T19:11:04-07:00
penggemarkamu,1,Aplikasi,Aplikasi bobro kaya pelayanan di faskesnya,4.13.2,2025-08-29T20:24:55-07:00
gsbajj,1,tll,gausa sok mau verif wajah lah buat apk aja gabisa. ngedetect gabisa tolol,4.13.1,2025-08-09T17:50:41-07:00
pterrrq,1,Sneh,Server sering eror jaringan bagus tapi gabisa daftar aneh,4.11.2,2025-07-31T08:36:57-07:00
khumala asvia,1,"Sebenarnya ini aplikasi bagus, semua detail.","Tapi sering log out sendiri. Dan kalau mau log in susah. NIK belum terdaftar lah, atau ga sesuai. Padahal udah di cek betul betul dan ga ada yang salah. Ribet tau. Coba di perbaiki, kenapa bisa log out sendiri tiap bulan harus log in, yang terlalu ribet prosesnya",4.11.2,2025-07-27T23:14:13-07:00
Iwodhhd,1,Not work,"Buat pendataran nya aja gk jelas saat verifikasi wajah. Petunjuk cuma wajah harus di dalam kotak saja, petunjuk harus sesuai dengan kriteria yg di inginkan. Intinya mempersulit untuk mengakses banyaj hal.",4.13.1,2025-08-18T21:15:04-07:00
YKristiadi,5,Bagus,Mantab mudah perubahannya,4.11.2,2025-07-19T06:08:21-07:00
