author,rating,content
Pengguna Google,5,"Aplikasi yang banyak memberikan manfaat bagi saya, tapi akhir2 ini mau log in susah bngt"
Pengguna Google,4,Aplikasi yg sangat membantu dan mudah digunakan 👍
Rian Rismawan,1,"Verifikasi sms nya susah, mau bikin sampe sekarang tidak bisa bisa mohon bantuan nya"
Kei Sakurai,1,"Cacat logika! Saat saya daftar akun baru tentu dimintai password, disana saya mengisi password dengan spasi contoh:(""test 1 2 3"") diperbolehkan dan gaada validasi apapun Setelah login, masa diberikan validasi g boleh pake spasi dibagian password, jadi saya cuma bisa ngetik (""test123"") spasi gk diterima Buat siapapun penanggung jawabnya, mangkanya klo nyari developer jangan yang anak magang, atau jangan vendor kenalan yang harganya murah biar bisa korupsi"
Krisna Maulana,1,"No HP udah bener, tapi pas mau verifikasi no HP di aplikasi malah salah gimana si payah jadi gabisa verifikasi"
hollybad Chanel,1,Aplikasi sampah g fungsi
editor suka-suka,3,saya tidak bisa daftar akun
Pepek basaah,1,"Kenapa sih hal2 penting kaya gini harus di kelola orang gak tolol, tiap bikin aplikasi pasti jeblok semu"
Bachrul Wasix,1,"aplikasi nya buruk mempersulit orang sakit gimana klo yang sakit orang kampung nenek"" yang gx bisa HP dan gx bisa berobat. gila emng konoha aplikasi sampah sistem nya ajj sering eror kok d pakai d negara ini loo."
Angky Beergone,1,Setelah log in kok malah muncul tulisan masukkan pin
Wulan Wulan,1,Suruh update trus😤
Danny Yohandri,5,Terima kasih untuk kemudahan dari aplikasi ini.
Abin Naja,1,"Sangat susah masuk nya, makin ga jelas"
dedi syahputra,2,Tingkat kan LG .
Putri Sari dewi,3,"Download udh lama,tp mau daftar sllu terkendala.. OTP kode verifikasi sms tdk pernah masuk,padahal pulsa dan jaringan ada. Solusi untuk mendaftar jdi gmn???"
Muhammad Iqbal Nugroho,5,"aplikasi baik bagus, peetahankan kalau perlu tingkatkan"
Muhayar Ahyar,1,"aplikasi apa'an ini,masa setiap mau kontrol harus di download lagi,Manding klu langsung bisa,daftar nya juga susah ,hidup sudah sulit di tambah makin sulit.."
Naim Hindatati,5,Puas dan suka pakai aplikasi Jkn mobile. Terima kasih
Bayu Aji Saputra,5,terimah kasih mobile jkn atas bantuannya
Eva Regina,1,Sangat menguras emosi dan pikiran. Aplikasi yang seharusnya memudahkan rakyat malah merepotkan.jika sudah di tingkatkan baru akan saya kasih bintang 5
roslina,1,"sudah hampir sebulan aplikasi eror, padahal cuma mau perpanjang rukukan, pasien dalam kondisi ingin segera di operasi. telpon layanan pengaduan diminta untuk daftar offline di rs langsung, sampai di rs jadwal dokter full! herannya ko bisa erorr hampir 1 bulan?!?!! jujur ini plikasi yang paling meresahkan!!!"
Pengguna Google,2,"Aplikasinya super lemot, nyuruh update doangan tapi malah makin lemot"
MTs Daarul Ma'arif,1,bosen diupdate mulu
aryan saputra,1,Buatan pemerintah kok lemot sih
novianti ovie,1,Mau reset password pas dikirimkan kode OTPnya no.hp harus ada pulsanya???? Dimana-mana kalo dikirimi sms ya gak ngaruh lah kita punya pulsa apa gak!
Eko Kurniawan,5,Bagus dan cepat
Muhammad Rifqi Wildi Sulthon,4,Masih perlu banyak perbaikan
Pengguna Google,1,"memaksa orang to update. kalu tidak di updet aplikasi nya tidak bisa di buka. jagan gitulah , harus nya tidak ada paksaan to update. kadang orang tidak punya kuota/ memori HP penuh."
Saifudin Zuhri,1,Di suruh up date dan Sudah up date tapi tetep suruh up date dan gk bisa masuk aplikasi menjengkelkan
Coc Faqih,5,Memudahkan dan sangat membantu
Nur Kosim,5,"Cara cetak kartunya bagaimana, nyetak sendiri apa di kirim gan"
Pengguna Google,4,"Berfungsi dengan baik, cuma kartu berobat di faskes yg baru tidak bisa diprint oleh kantor cabang Pekanbaru."
Destiamelia Lestari,5,Sangat membantu dan mudah mau ganti fakes
lusi yulianti,5,allhamdulilah membantu untuk buat antrian
AngeL Hakim,1,Tolol apa GK bisa ke buka capche tidak sesuai mna mau daftarin anak berobat harus d jKN jKN ny GK bisa masuk masukk aplikasi tolol
Pengguna Google,5,Sangat membantu
Pengguna Google,5,"Bagus,sangat membantu"
SATPAM PRIBADI,4,Sangat membantu
Jarbit20 Bitsugi,2,Aneh ..baru kemarin di buka setiap masuk kayak mau daptar terus... KTP pasword chasa... Capek .. Bank aja g begitu
eko ksda,5,Mudah pemakaian aplikasi. Perubahan data bisa online👍👍
Bayu Ardiyanto,1,"Aplikasi yang sangat dibutuhkan justru payah sering eror tolong diperbaiki lah , banyak yang membutuhkan JKN ini"
Hezkiel Kawet,1,Aplikasi cuma verifikasi nomor hp aja kok pakek biaya pulsa anjinggg banget nih aplikasi.... Biki maluu nih aplikasi
Mahmudin 965,5,Alhamdulillah berkat pandawa hp n email berhasil dirubah
arba winata,1,Hidup lagi susah susahnya dibikin susah lagi sama aplikasi ini
Pengguna Google,1,Sumpah males bgt minta update mulu. Dah gitu leletnya minta ampun. Biaya bikin app ini berapa sih?? Sumpah deh kalo ga perlu2 amat mau udah saya apus app ini
glinggan farhad,1,"Ini aplikasi apa? Susah daftar ,ngapain buat aplikasi kalau mempersulit."
Arief,3,Kasih 3 dlu ya baru mulai bisa login soalnya
Nofia Choiru Rahmawati,1,"Aplikasi apa ini? Saya mau buka aplikasinya tapi tampilan selalu offline, padahal koneksi internet lancar² saja. Sudah update pun tetap bobrok. Ck, mengecewakan!!"
mas birin birin,1,"Maaaf bintang satu saja,saya orang awam yg gaptek,di suruh kayak gini,serasa kesulitan,harus daftar kk,padahal kk kan sudah ada dr 8thn yg lalu,kami udah capek2 donlowd zonk,hanya prank semata,ini namanya mempersulit rakyat,bukan mempermudah,"
Nadia Chenel,5,Selalu melayani yg terbaik
Pengguna Google,5,Sampai sejauh ini aplikasi ini masih ok tanpa kendala. Dan sangat membantu.
ayutha uthamy,4,Kenapa riwayat pelayanan tidak bisa dipilih. Saya punya 4 anggota tp hanya nama saya saja yg muncul tidak ada pilihan nomor/anggota lain. Mohon diperbaiki
Boy Ambardi,1,Gimana sih gajelas lu bikin aplikasi otp aja harus pake pulsa kocak ngeribetin pake wa lama ngirimnya kaga muncul muncul
syaiful anwar,5,Sangat membantu
Poppy Nuraini,5,"Alhamdulillah mempermudah semuanya , ga harus telp cs keluar pulsa bisa dilakukan semua diaplikasi"
Hadi,2,"Kalo ganti nama ""bayi nyonya A"" jadi nama asli si bayi caranya gimana ?"
Pengguna Google,1,"Setiap mau buka aplikasinya selalu suruh Updete terus,.. 😤"
Rendy Kurniawan,2,ga bisa masuk captcha tidak ada ini bagaimana
Neprizal Neprizal,5,Sangat membantu
Ilham Wisbangun,1,"Aplikasi apaan ini, mau daftar minta verifikasi masih pake SMS kyk jaman majapahit. Kalau gk niat buat aplikasi mending kembali jaman dulu aja pake girik antrian"
Pengguna Google,3,Setiap masuk.. langsung minta penilayan kinerja klinik..y kalau klinik terakhir berobat sih gpp.ini yang udah d nilai pun minta d nilai lagi berulang2 terus
Arjubono Naval,5,Lebih mudah digunakan.
Gita Asriani,1,Baru juga download captcha nys ga muncul aneh deh
fathur rohman,1,Kode otp di coba berkali kali tetap tidak terkirim gimana ini
Atik Kurnia,1,"capek banget nunggu kode Verifikasi di ulang berkali-kali nggak masuk masuk,, udah bener juga nomornya tetep aja nggak ada kode masuk, ganti nomor juga nggak ada yang masuk kode nya,, repot banget"
Nur'ain S. Pakili,5,Maa syaa Allah Sangat bermanfaat
24-003 Zalfa dhia rifa,1,sangat lama pengiriman kode OTP
Lukman Hakim,4,"perubahan data mudah, namun banyak perintah yg harus di ikuti"
Riyanpangestu Aditya,5,sangat membantu ada aplikasi ini memudahkan layanan ke masyarakat
Siti Raudhotul M1791,5,Pertahankan kualitasmu
Fifi Oktavia Sari,1,yaallah sumpa ribet polll aplikasi ini
Sastria Sasti,5,Aplikasi yg sangat membantu 👍👍 memudahkan pasien
Naufal Muflih,5,Sangat membantu untuk pelayanan kesehatan
Om Fais Daily,2,Saya ada kesulitan menghapus antrian di faskes rujukan tingkat lanjut setelah berhasil pembatalan di faskes tersebut.. (nomor antrian muncul terus padahal waktu sudah kadaluarsa. Jadi saya tidak bisa daftar ulang online via JKN untuk tanggal yg berbeda. Minta solusinya..
Witrinia F,2,"Kenapa untuk masuk kok susah yaa, padahal captcha nya sudah bener ga salah, tapi tetep aja salah katanya, infonya dong minn"
Gunawan hadi,5,Mempermudah Bagi Peserta JKN
war hammer,1,saya mau ganti nomor hp akun saya apakah bisa dibantu...???
Hendry Sanjaya,5,cepat saat merubah faskes
Rayhan Alfarizqi,3,Kenapa saya mau daftar gabisa terus yaa. Gimana caranya
moh mabrur,5,Sangat membantu
Arfen Alvin,1,Faskes pertama kenapa bisa berubah sendiri istri dan anak saya faskes sudah di kampung halaman tiba tiba berubah menjadi faskes pertama di ibu kota. Bpjs mudah di sadap akunya
Aris Septiadi,5,Sangat membantu
Pengguna Google,5,Aplikasi sangat memudakan untuk perubahan data peserta tidak usah datang antri di kantor BPJS
Anisa Apriliani,2,"Saya ga bisa login karna captcha ga muncul2 tolong segera di perbaiki,karna saya mau perubahan data.. Keburu mati yg sakitnya klo gini terus"
Suharmi,5,Pelayanan sdh bagus cpt mendapat respon
Arie Hadianto,1,Jelek banget....eror melulu.
Andika Putra,2,Ini setiap buka update . Iyakah setiap hari ada pembaruan?
Pengguna Google,1,"Payah, pembaruan mulu😒"
Abdul Kharis,1,Repot aplikasi minta diupdate mulu amgel ruwet
Dimas Andrean,1,Aplikasi ribet mau daftar di apk nya suruh ngirim SMS pakai pulsa
Aleta Hun,1,Selesai di perharui ko mlh jd kacau di suruh daftar lg tu bpjs aneh bgt
Siswanto,1,Lemot banget..buat buka az
Yayuk Sulestari,5,Proses pemindahan faskes cepat
Gebrina Riska,1,"aplikasi nya ribet, udah berulang kali masukin kode otp tapi katanya nomor hp bermasalah lah, yang tadinya mau berobat jadi gk berobat2, apa sengaja diperibet agar gausah berobat pake BPJS"
Ngalalana Official,5,"Aplikasi yang luarbiasa, perlu banyak peningkatan lagi"
Meydia Simanjuntak,5,Keren dan ramah penggunaan
Rudy Bule,1,kagak mau rugi pisan harus ada pulsa wae payah
Harun Starlets,5,Liat situsinya dulu
Mochammad Soddiq,5,"Siip , mdh2 terus propesional"
MayaLestari,5,"Fungsional, praktis dan mudah digunakan"
Ivan A,1,"Auto debit BCA, dan non bank lainnya dari tahun lalu sampai sekarang tetap ngk bisa dan ngk pernah di perbarui"
Pengguna Google,4,Sangat membantu
Rizky fitri utami,1,Kok hbis d update malah ilang akun yaa gak ngerti deh BPJS mau gmna udh mah daftar yaa susah hrus Pandawa lah Chika lah tp pelayanan minus gmna ath ini...
Ibay Izanami (Ibay),1,"-bukannya mempermudah. malah mempersulit.. -tidak berguna -mempersulit orang yg kurang paham teknologi/digital. pdhal orng tsb cma mau berobat. -email hrus lbih dri satu, pendftar dan keluarga lain -no hp hrus lbih dri 1. pndftar dan keluarga lain. -no hp dua-duanya hrus prabayar utk OTP.. -intinya gk niat melayani, mengurangi kunjungan orang yg mau berobat."
Haris Darmawan,4,mendingan lah
DADI document,5,Berguna bagi masyarakat banyak
Maya Irnawaty,5,Mempermudah utk mendapat layanan kesehatan BPJS
Abdul Rohman,1,Ngga bisa masuk kendala di Captcha
Trian Keandra,5,Semoga banyak manfaat untuk rakyat Indonesia
Febiola Gracia Silalahi,5,aplikasi sudah lebih baik dari sebelumnya👍🏻
Ita Widiyanti Praditya,1,"Di Whatsapp Customer service Pandawa tidak ada respon sama sekali,.. Di telpon susah nyambung nya,.mau ngurus saja sulit bener padahal tiap bulan disuruh bayar...Tapi Pelayanan nya Bagaimana ini??"
Budi Yanto,5,Aplikasi ini sangat komunikatif dan mudah untuk digunakan
Abdul Aziz,1,mohon agak niat buat apk nya ya anggaran udah besar masak apk nya sampah
Asih Apriyani,5,"Kenapa aplikasi saya tidak bisa dibuka ya, saat saya membutuhkan"
Joko Triyono,5,Mantab Joss mudah dipakai
Heriyan Sukabumi,1,makin lama makin jelek
kopi ireng,1,"Aplikasi ga guna, ga bisa masuk apaan root root aneh"
Farhan Ramadhan,1,Aplikasi banyak bugnya saat daftar minta ferivikasi lama dapet kode ferivikasi nomor hp. Kg ada prubahan dan mempermudah untuk penguna BPJS
Aji Saepudin,2,Parah susah masuknya
dho dho,1,gak aneh! apa pun itu yg di kelola oleh pemerintah gak jauh dr blangsak!!!
ferdi Sukma agung saputro,1,"Untuk mendaftarkan diri kenapa susah sekali ya, untuk kode otp email bisa di proses tapi untuk kode otp nomor telepon knp ngga bisa? Padahal sudah 100% saya menulis nomor dengan benar. Tolong segera di perbaiki. Karena saya jadi terhambat melakukan tanda tangan kontrak karena belum registrasi apk tersebut"
Yusup Saputra,5,Sangat membantu
rusdi b7,5,Siiiiplah apsnya..untuk lbih mudahnya knp ga 1 akses ya ..kpla keluarga bsa buka link anggota keluarganya...knp mesti bikin msing2 1 apliksi..brrti anak anak hrus pny hp sendiri dong ya..mohon d tinjau kembali .
Pemancing AmatirTM,1,Udh gak ngerti . Ke kantor bpjs suruh via aplikasi . Download mah transaksi blom bisa di proses trus hadehhhh
Astrid Muna Nabila,1,"Sulit untuk pendaftaran, harus minta verifikasi ini itu. Padahal di tuntut untuk pakai aplikasi jelek sekali. Tidak mempermudah tapi mempersulit."
Abdullah Abdullah,5,Bintang 5 sudah mendeskripsikan untuk aplikasi ini...
Toni Setiawan,1,"Ini lama2 bikin orang emosi juga,,, setiap buka aplikasi harus di update... Inti dari update terus itu apa,agar bagaimana.. kalo mau memudahkan ya mbok jgn biaya lagi biaya lagi..."
arif pratikno,4,Menu ubah data nya ga ada? Padhl mau update nomer hp
Melin Ulandari,5,"Aplikasi yang sangt berguna dan bermaanfaat, terima kasih bpjs kesehatan"
yanti bone,1,"Sebentar"" harus diupdate, kalau ram hp besar ga masalah ini ram kecil? Mana banyak group anak sekolah,"
widi triharyani,1,"di upgrade malah banyak yang dikunci min,ribet iiih"
Wahyu Nrury (Nyonk),5,Efektif dan efisien
Jepy manek,4,Apknya sangat bagus dan membantu terima kasih
Mencari Berkah,5,Mantap dan sangat bermanfaat
Kristian Ade Putra,1,Anjirr uptade kok malah ke lock semua menu nya.. Nyesel gw uptde..
Supri Yanto,5,"Aplikasi baik, mudah pengoperasiannya."
Status Whatsapp Video,1,"Saya mau daftar tapi tidak bisa memilih kelas perawatan, tidak bisa dipencet, sudah dicoba di hp berbeda tp tetap gak bisa. Benahi dulu baru saya tambah bintangnya"
Deny Kresna,5,Sangat membantu
Friscaafin 04,5,Cukup mudah dan praktis
Endy Rohiadi,5,sangat membantu untuk kemudahan masyarakat dengan keperluan yang sangat penting bagi kehidupan
Budiansyah Hadinata,5,Sangat bermanfaat
Pengguna Google,1,Setiap mau masuk nomor kartu anda blm terdaftar padahal udah bolak balik daftar giliran lama ngga login no anda blm terdaftra payah
Amir Kurniadi,5,Sangat membantu
Kasan Serv,1,sering error. ini mendesak.. malah aplikasi tidak bisa buat daftar antrean online. tidak bisa terhubung. parah
Wiwid Wijayanto,1,Aplikasi tidak berjalan pada emulator atau perangkat yang telah di root.. Aplikasi aneh..
Irvan Victor Welkom,1,"Udah bayar sampe bulan Maret lah diapk masih kena denda rawat inap, orang gak pernah masuk RS woy"
Yasio Yasio,1,Aplikasi yg sangat bagus.. pelayanannya jga bagus dan kirim kode OTP jga pake plsa. Sooo menurut saya sangat maju dan bagus sekli
H .herman,5,sangat puas dengan pelayanan nya
Sayyidah Sholihah,1,"Loadingnya lama, sudah nunggu lama ujung2nya disuruh coba lagi, padahal download apk ini biar memudahkan ternyata malah bikin emosi"
aswalmi gusmita,5,"Bisa antrian online, konsul dokter online juga"
Nurma yanti,2,Aplikasi versi terbaru blank... cuma ada menu daftar gak ada menu log in...
Fatku Noor,3,Kurang puas karena pengambilan obat diapotik menguunakan lampiran fc Ktp.kk. kartu bpjs yg merepotkan
Ao Valofe,1,"Kagak bisa di gunakan, eror trus"
She mond,1,Kenapa susah masuk padahalkn udah daptar kenapa email saya di gunakan sama yg lain
Pengguna Google,5,kok lama ya download?
Chairina Pane,5,Pelayanan bagus
dewi mita sari,5,Sangat membantu
Rihelmi Zakiyah,5,Sangat membantu
Anwar Agus,5,Sangat Membantu
kopicoklat,2,reservasi rujukan antar rumah sakit gagal terus.
GhuronM 22,1,"aplikasi sampah,mau verifikasi wajah gagal terus ,udh ditmpt yg terang juga gk pake aksesoris apapun sesuai arahan di aplikasi ttep aja gagal,katanya cahaya Kurng kocak,apa verifikasi nya harus depan matahari/bulan biar terang 🤣"
Angga Permana,1,Apk parah.... Tidak bisa daftar.... Bukannya mempermudah malah mempersulit.... Yang bener donk kalau bikin apk... Capchanya error...!
Dwi Julianto,2,"saya mau ubah data segmen dr ppu ke peserta mandiri, tp pada tahap pemilihan autodebit dan sudah mengisi semua form selalu muncul pesan ""permintaan anda belum dapat diproses"" mohon pencerahannya"
Yogi Darminto,5,Gak nyangka bpjs bisa seringkas ini
MUH HAMSAH,1,Ribet kalii masuknya mna kendala di auto debit hdehhhh
loph rinz,2,"Yth.Admin, Mengapa aplikasi tidak terhubung dengan mesin cetak SEP di RS??? Jadi utk apa daftar via aplikasi, bila saat datang harus antri kembali di loket untuk daftar ulang 🤔"
Kusriyana Widagdo,3,Sinyalnya kurang max
Pengguna Google,5,Sangat bermanfaat
BANG IFAN,5,Sangat membantu dan memudahkan kami penerima manfaat bpjs kesehatan.
Evah yan,1,tdak bsa mmbntu sya mau dftr bpjs tdak bsa
Muhammad Iqbal Hafizh,1,"kode captcha muter muter doang, aplikasi pemerintah gaada yang jelas"
Yolanda Putri,1,"APLIKASI RUSAKKKK bukannya mempermudah masyarakat buat akses layanan, malah gagal akses mulu."
Pengguna Google,4,Mempermudah peserta mengubah data dan mengecek tagihan
Pengguna Google,2,"App nge bug, ndak bisa login, captche ndak muncul"
mohamad firmansyah,1,Aplikasi macam apa ini.. Rakyat Susah malah dibikin Susah.
Daffa Kubilvibes,1,"Engga ngerti ,GK biSa Masuk daftar. Tolong di perbaiki. Lah"
Vindha Yulia,1,Aplikasi ini susah sekali dipakai. Loadingnya itu lo.. Laamaaaaa dan pada akhirnya ngga bisa kasih informasi yg kita butuhkan. Padahal udah diupdate. Kebanyakan apa sih? Jadikan lebih ringkas lah... Yang ngga perlu di dalamnya dihapus aja kalo itu membuat app jadi berat...
Yudi Ariansyah,1,"Gua udah bayar , tapi di aplikasi ini tagihan masih ada. Bikin bingung.. anjeng bgt. Ni aplikasi ga ke urus .. padahal pakai duit rakyat. Aplikasi BUMN memang ga da yg bagus. Mungkin banyakan korupnya"
imam sutopo,5,Sangat bermanfaat
Rachmad Dani,1,Gimana ini aplikasi nya saya sudah terdaftar setelah ganti HP malah gak bisa masuk
Suhandi,1,"Uninstal ajalah, apk kok bukanya mau bantu masyarakat malah menyulitkan, nik gx bisa lebih dari 3 orang tapi setelah masukin nik yang awal tetap aja gx bisa buka."
Luise Siregar,1,Aplikasi kalau tidak dikerjakan dgn serius alhasil ya Mobile JKN ini lah! Gak jelas! Tidak user-friendly!
Shaqila Adin,5,"mempermudah pendaftaran, terima kasih"
Pupah Apifah,5,bagus. adanya aplikasi jkn jadi daftranya ga nyubuhnyubuh
Pengguna Google,1,"dari pertama daftar gak mau login, saya kira gangguan, tapi ini sudah dua minggu tetap gak fungsi tombol loginnya"
kanza nuramadhan,1,Daftar akun nya gmna ya ko ga bisa🙏🙏
Rahma Syafnita,1,"Kok susah amat yaa mau daftar online. Disuruh buat telp ke 1500400, udah ditelpon malah ga bisa"
sujada,1,"Aplikadi kurang praktis mau cetak kartu anak, hrs daftar dulu, dan hrs pake nomor hp yg berbeda, nah kalau ansk saya 5, jadi hrs punya hp semua,... tolong dipikirkan. Akan lebih praktis jika di akun kepala keluarga bisa cetak kartu anggota yg lain"
Pengguna Google,4,"Knpa ya dh saya dowload bpjs kesehatan nya tidak biaa dibuka, dh gitu disuruh dowload lg.kok makin ribet aplikasinya"
Fahira Intan Anjanika,1,setelah di update aplikasi jadi gak bisa klik masuk pas mau log in akun bpjs lain padahal sebelumnya aman aman sajaa
Siti Fatimah,5,"Sudah Bagus, Terima Kasih"
nicoringo,2,Untuk fiturpendaftaran pengguna mobilejkn apakah sedang tidak bisa?.
Deni Pratama,5,Mantap betul asli
Riki Junianto,5,Aplikasi ini Mantap....
Dede Saean,1,"banyak gangguannya, semua aplikasi dari pemerintah selalu sering gangguan..ngabis2n uang negara aja."
Toni Nurrahman,5,Lebih meningkatkan
Ni komang ayu Sri aryani,5,Ad ny mobile Jkn.sangat membantu sekali.daftarny cepet nggak ribet.
Mahfudoh 10,1,"Kenapa sekarang pindah faskes gak bisa langsung lewat aplikasi ini gak kaya dulu langsung bisa, ribet banget, udah telp care center sama ajah, wa pandawa klinik yang mau pindah tidak ada didaftar."
Su Dasmi,1,gmnaa ni otp SMS tidak dikirim sudah nunggu lebih dari 1 jam padahal nomor aktif pulsa juga ada
Diyah Nadia,1,"aplikasi pemerintah prasaan GK pernah bener deh, selalu menyulitkan"
Candra Kirana,5,Terimakasih aplikasi nya bagus sangat membantu
Martini,5,"Pengin banget ganti BPJS mandiri ke BPJS PBI,tap sayang gak bisa lewat aplikasi mobile JKN"
lia tanang,5,sangat memudahkan
sabakuno poetera,1,"kenapa setelah di update muncul permasalahan dimana kita harus login kembali, setelah login tidak terverifikasi padahal sebelumnya aman-aman saja"
Eny dzakwan Ariyanti,5,Sangat bagus dan membantu
Mas Ali,1,Kok gak bisa masuk ya
Deden Ajaina,4,Sangat membantu
gondrong ndeso,1,Buruk....banyak link sulit di buka
Yoji Setia hati,5,sangat mudah di gunakan . terimakasih
Pengguna Google,5,sangat membantu ..trimakasih
IOS SS Note,1,"minta akses kamera, tapi tidak ada opsi allow kamera di IOS"
Ayu Prameswari,1,captcha tidak muncul.jelek bikin pusing
Pengguna Google,5,Lebih bertumbuh aplikasinya
Herty Whichaksono,5,"sangat mudah di gunakan ,,, sangat bermanfaat dan sangat memuaskan"
Muhammad Alghifari,5,"Alhamdulillah udh bisa daftar, sebelumya ga bisa ntah karena apa, cuma yang masih belum bisa verifikasi akun. Tolong di bantu min caranya"
Adi Prasetiyo,1,"Aplikasi nya ngga berguna sama sekali, udah update malah tidak bisa digunain. IT nya lulusan cabutan."
Khaerul Azmi,1,gimana sih gabisa terus ni apk apaan dah gabisa berfungsi verifikasi nya hadeuh
Edy Heriana,1,Mau ngasih bintang full tp nyataannya.... Aplikasi sowakk
Pengguna Google,2,"Setelah diupdate gak bisa login,, katanya transaksi belum dapat diproses,, mohon segera diperbaiki"
Respati Aditya,1,"Gak guna, kalo mau bikin aplikasi tapi gak pernah bisa di buka mending gausah! Boro boro mau daftar. Masuk ke aplikasinya aja gak bisa. Payah.."
Fino Alfarro,5,Apk yang sangat bermanfaat
Rama Dhani,2,"Selalu minta update setiap dibuka, knp?"
Nazaruddin Fathuh Rachman,1,"Makin kesini makin kesana, ribet bertele-tele"
Pengguna Google,5,Sangat membantu
ELQY,1,Abis diupdate malah ngaco
Yofffghjiygdessfh,1,Aplikasi goblokkk varifikasi wajah gamau tolol
Khafid Maulana,1,kode otpnya gimana kaga muncul udah liat tutorial semuanya kaga bisa pulsa udah 50k lebih tetep aja gabisa
Pengguna Google,1,Kelas I.. Anggota keluarga 5 org x Rp 160.000 = 800.000/bln Setahun 12 x Rp 800.000 = Rp 9.600.000 Iuran sebesar itu di layani paling belakang harus ngantri ber jam-jam... bertele2 pleat pleot assu! Fair gak hayoo...?!!! Kalo gk ada perbaikan #BubarkanBPJS
Johan Aryana,1,Knpa gak bisa masuk... Jngkrik!!!!
Husnul Khotimah,5,Terima kasih karena mudah dalam akses penggunakan aplikasi JKN.
Raffa Muhtar,5,Sangat membantu
Ardian Prapasta,5,So far masih lancar.. dan makin bnyk fitur'y..
Putri Yulianti,5,pertahankan perfoma pelayanan kesehatan nya.. edukasi masyarakat lebih detail lgi biar pada paham penggunaan jkn mobile
zakky surya,5,Mudh-mudahan negara kita cepat pulih
Apri Anto,5,"simple dan mudah,,"
Sitti Hajjar,5,Sangat memudahkan
Iwan Gunawan,5,Baik untuk kedapan y
Pulan,5,Pelayanannya sampai saat ini masih baik
harrypanca,5,Mobile JKN merupakan terobosan yang paling sangat membantu apalagi di masa Pandemi. Semoga BPJS Kesehatan tetap selalu berinovasi dan menjadi yang terdepan dalam pelayanan publik
Budi Azral,5,Terimakasih mobile jkn sudah tidak blank putih
Agung,5,Sangat membantu
Nirmawati Nirmawati,1,mau daptar az susahnya minta ampun tidak di kirim2 kode peripikasinya ☹️
Lapita pita,1,"gkk bs dibukak sama sekali di hape aku sdh brp kali donlot hpus donlot lg malah eror,"
Aris Risafahlevi,5,Sangat membantu
heri_ fismat,1,"udah coba daftar berkali-kali tapi ga bisa juga. Pas masukin nomor hp, tulisannya nomor hp sudah digunakan kok aneh yaa, padahal belum pernah daftar. Mohon aplikasinya diupdate yg simpel dan mudah cara daftarnya, ga seribet ini. Mau berobat jadi ga bisa, sedangkan dari faskes 1 ga melayani offline. Bagaimana solusinya...?"
Ahmad Rosiddin,1,Kok eror mulu buat buka kartu and profil aja kagak bisa .
Pengguna Google,1,Diupgrade malah susah login...kayanya mau bangkrut nih bpjs...
Pengguna Google,5,Cukup membantu
DANIEL SUYATNO,5,Baik dan sangat membantu masyarakat
Dante San,1,Mau daftar aja susahnya minta ampun Kuota lancar buka aplikasi lainyg lebih beratpun lancar Lah ini yg notabene apk ringan terus aja loading Buruk Bintang 1 pun terlalu bagus
Isa D Kalambo,1,"Aplikasi apaan ini gak beres,di suruh masukin data lengkap tapi balasannya gak sesuai padahal data yg saya masukin sudah sama.saya kasi satu bintang saja"
Pengguna Google,1,"Buruk, lemot minta update terus, baru seminggu lalu update udah minta update lagi.."
Desi Diana sari,5,Aplikasi bagus dan mudah dimengerti
Agus Samad,5,sumpah bagus banget gurus kesehatan cepat tanpa ribet saham sehat indo
Mini Kania,5,Sangat membantu bgt ada aplikasi ini jd GK ribet kalau mau berobat bisa daftar online
Pengguna Google,4,Sangat membantu
Astri Istiqomah,5,"Memper mudah , untuk perubahan data tdk perlu datang ke kantor ."
Pengguna Google,1,"Ini kok tiap buka minta di perbarui trus... Cpk tau, klo punya ide aw maskan rangkumin dlu jgn dikit"" mnt di perbrui, passwordnya bkn asaln jdi kdng lupa, yg bkin aplikasi serius g sih permudah masyrkat,"
Pengguna Google,5,sangat membantu untuk mendapat informasi tentang bpjs kesehatan...
Sandi Sandi,5,"Mudah untuk pindahkan faskes, dan cetak kartu BPJS."
Nanda Aprila,1,"Mohon diperbaiki lagi aplikasinya, masa udah coba lebih dari 5 kali buat daftar peserta baru nggak bisa-bisa padah udah di re-instal sama jaringan data stabil haduh Bukanya dipermudah malah dipersusah"
Tukang Nguseup,5,Sngt mmbntu untuk ksehtan dan perawatan
Halijah Sirait,1,GK bs dibuka STLH update
aris suliyono,3,Sering update versi terus
Cahaya Aprilia,1,"apaan nih apk GK jelas dan selalu error, gimana mau daftar kalo caranya aj dipersulit gini...hahh gimna sih pdhl udh benar masukin no ny tp tetep berkali-kali GK BS..."
Pengguna Google,5,"Kenapa g bisa di buka ya aplikasi nya ,sebelum nya bisa"
Novi tristi Wardiana,1,Susah verifikasi no hp
M Fajar,1,aplikasi aneh..mau pindah tempat askes nya dan lihat tempat askes udah berkali-kali gk bisa dibuka asik muter aja..
Andre,5,Sangat membantu dalam kesulitan keuangan
Lani Lani,5,Terima kasih sudah di permudah
Pengguna Google,5,Sangat membantu apk nya ..
Abdullah Achmad,1,"Amplikasi gak jelas.. masukkan no hp sudah pernah dipakai,no yg lain jg sudah pernah dipakai. Padahal belum pernah. Verifikasi ribet sudah pakai email,pakai no hp.. gagal terus..."
